1000,100
4500015,1062830
1484405,838371
2215104,1085649
2249467,772658
2219731,940814
374564,818217
2832983,1113146
310744,1129153
3316312,449572
2701626,416522
4735681,900139
3046886,340840
887633,244482
606745,865360
3107661,79904
2951283,332982
4527056,351014
2527987,368915
532165,374314
3491838,374131
3743151,378040
4065728,769613
441170,352893
4087907,1213186
1419224,532574
556209,1178893
2327283,784240
4064029,936232
4668302,1062216
3329289,438879
1133241,1052488
3449376,181658
1563167,1070328
1884874,482284
2574580,933124
4055191,237507
3795619,1118957
3373566,316412
3419595,854905
2534258,91757
4605111,627531
320290,1047224
1943680,1222160
1924149,937112
3296806,988061
1669455,361582
1094020,639001
771689,370128
3140650,672700
570810,1913
20737,13429
1570113,124349
4548665,276051
3225891,115616
3420006,670948
3075191,1108731
4242187,645241
3136594,1091871
86107,74253
2946944,165560
4188558,693400
1755747,628777
1844789,248082
3558284,146984
4730964,945590
397636,381094
2071492,604271
1917999,183645
1259508,225273
3283812,251009
1314638,457439
378516,909528
1223907,1064317
1989562,843800
3291927,1142851
502479,306130
4295565,267247
3969397,646915
341845,394956
3416624,667939
4302405,373758
1513123,178877
1793119,1182423
2923717,739883
233138,555040
1697698,210536
852941,1120468
4411760,46774
4219081,147069
1960319,63003
538112,1223319
1308554,1041205
4600363,804014
4535226,816276
298367,1133493
1824443,1087005
861091,82727
1145566,657481
108483,700713
4577874,1047447
