1000,100
37135,716753
285919,705737
744348,619163
556250,249318
702857,429290
648596,441255
3915,769769
460359,765174
52386,901897
80864,259231
60534,533688
677333,346936
91930,707002
11003,673103
635859,107675
427792,464562
174845,943485
429798,858750
686822,812746
191678,589554
398480,371569
422663,963052
405989,611909
185599,434050
170978,978489
645402,264855
257677,97503
217035,808037
683545,362229
718723,857340
337610,14489
378685,464758
309197,324649
231251,947849
701881,361717
123358,663746
298862,82575
465184,374521
321515,846198
331595,384193
642322,218398
190723,796248
611837,787249
744397,250864
437649,645288
186104,654987
589867,573253
532624,117120
45135,626874
649178,586838
752315,454724
127563,457707
264710,596626
116415,296201
634702,857529
450328,517262
614237,440692
208161,477285
366634,807203
342531,945611
620434,270697
254534,762007
329705,298397
291332,276156
193051,108641
696139,67970
770312,647059
762394,673878
32719,420525
725842,754005
601226,429524
291050,800468
608673,196081
344789,632621
728690,146584
553233,191179
501842,102967
530218,403689
3900,736466
66516,442419
229534,979556
7972,753268
444040,889868
784118,13092
186544,337833
356115,576842
713972,285792
426800,23263
319229,534485
603871,118779
96693,466207
159498,398959
768828,845162
465084,670308
739991,568387
297524,64332
338144,65706
560974,711426
777183,804263
106038,909408
