1000,100
162698,360852
763860,148838
195949,719314
710974,446319
349465,898681
457217,792262
138315,771996
322893,23858
456377,416709
528410,534127
715937,308002
60014,478683
657732,186652
559009,808908
181512,157486
356482,165468
290772,515647
5083,314220
418847,178348
392642,421633
570778,765932
145935,679569
540121,329307
493910,681479
159346,141781
201643,136932
124389,277426
759217,641240
133764,438239
28133,497064
564286,735309
599632,972839
724162,553592
694399,250704
337218,674026
92479,3148
632979,390445
548437,322680
710268,419663
105756,494905
293419,811986
534585,17405
548741,458656
597298,271564
773658,238318
501582,568238
662647,385175
655144,136598
155974,4784
286954,363303
163546,762587
51978,709157
716611,573035
492885,579198
553867,97240
544897,936421
201810,502550
402326,112179
259625,330591
13435,596295
307049,639431
142256,418283
553002,136069
59331,377283
742279,976712
153124,747855
437793,730407
358348,787811
524146,158634
585796,276229
256929,21561
18191,378467
125125,569464
40239,723296
669821,889623
771201,798076
36873,229975
554108,367661
373680,370079
440421,174224
721448,3555
532557,740293
382537,92909
191681,725762
255807,73708
595922,687971
383298,492814
169625,503316
497813,951421
611050,800285
212125,307897
74737,965504
726011,785864
145174,33894
607235,679614
43681,932451
8088,191506
575694,841825
689610,405206
9914,763480
