21308,52410,1054
25224,47914,572
25959,50107,1163
22794,33851,984
34538,10355,1326
28363,81954,1236
42155,90208,823
7650,48674,534
16492,52710,1085
36047,12130,878
36437,67014,1468
18371,11837,1483
21692,5832,567
4477,69194,1205
13688,76113,719
34729,3222,1328
19668,88641,1092
28153,20496,1301
3956,96322,1198
41684,21718,858
37888,2778,707
6980,10880,1257
23437,22417,1261
34535,26134,1043
37224,6678,997
3205,43682,540
21947,93994,1250
25593,20176,1184
9840,1983,1251
32948,75559,688
25136,7237,673
8075,81470,1189
21313,11266,1264
3945,83629,1257
40997,5195,817
34587,6183,869
20459,13429,557
31188,35535,1431
35099,78307,735
21064,34417,823
14699,4588,1310
43231,73627,1312
5689,23679,509
33439,55815,561
32273,90235,1135
43491,68189,939
37831,90344,633
31001,80409,859
40812,17335,1448
22439,91427,1187
19288,59574,1374
44323,56372,1231
21401,352,1063
39737,12341,623
16778,66832,589
30127,66414,1422
28706,15320,572
42539,7625,1446
33570,6843,983
18372,37366,1479
43074,22328,996
31848,54663,1351
43537,46344,1414
39191,59153,552
18236,35354,707
12725,28698,820
32552,39180,568
31926,35164,724
41158,22961,944
19895,19272,631
15597,67096,1350
2911,6088,1122
35673,31354,936
40708,32235,864
44245,67911,1276
14432,90794,1468
42542,16391,698
40331,72544,870
39049,63273,1330
8730,76796,1232
20030,7619,1320
35780,4259,887
19168,37228,1286
29043,41511,1479
40763,8027,1428
4857,58677,1352
10054,43047,901
31474,82400,826
12418,96577,567
13249,52374,754
35208,96472,799
23174,12709,787
24410,44549,1486
5970,94714,611
35489,81632,1394
21931,81535,1197
2613,46321,1090
31965,80821,979
25261,36534,1190
38917,64118,934
42353,45024,1171
8470,45414,588
1056,51465,535
29440,33944,536
6636,8364,558
31852,53123,1027
37966,61709,1342
4803,4760,796
35277,12690,1348
31320,52281,1035
19933,219,1044
44920,17232,1397
1831,54494,1045
28032,96118,567
4758,37638,574
2704,5071,986
3832,68682,1286
23099,92871,1224
39420,10733,578
6948,9251,1484
15606,22385,647
43131,10095,1424
40788,28456,1029
8602,44788,1190
13374,55900,1417
7194,58866,1133
29879,78826,1261
42475,77587,1231
18283,5016,798
18193,40267,1403
13496,36937,1309
20692,9286,1149
34755,54907,715
26076,30203,1024
24542,21622,821
29603,29180,741
27645,57198,938
37809,88632,1400
3304,8316,747
9593,23014,596
14739,46867,559
33909,33655,1370
10739,83387,1307
21259,91192,1318
36640,51613,862
19915,68135,1432
13515,82893,1408
10839,1044,1484
42279,65275,653
34886,39559,1007
29075,84169,548
19635,59952,1364
33355,57702,834
40088,447,585
25169,42141,947
9445,10428,605
6705,34850,1319
36453,27352,1044
43516,72315,1492
19754,68895,1492
45287,9087,1252
38817,32202,622
27345,66808,1058
22542,55980,1076
27131,34155,1186
30875,67108,630
33956,37500,1063
8670,34827,1465
40209,12872,651
43170,68627,804
39849,1224,988
17202,35178,1167
43806,78479,660
36452,91333,1087
33735,13393,957
21355,61722,1429
15461,42192,745
38407,92053,801
17927,48082,576
5151,18542,954
34449,65176,821
8703,49324,865
23949,87099,854
42483,68194,505
33277,47209,771
3225,30680,1330
35284,32886,1198
10453,83375,706
27892,40051,969
31914,19467,913
33709,73767,1383
31326,40471,920
42673,9535,1267
12442,40364,535
39204,55080,666
11618,31801,715
9052,45211,782
12955,51434,552
26961,57362,1337
30852,84102,1388
15963,34196,1418
35521,98194,1183
36639,86264,954
29818,37349,651
32906,22022,1068
2198,84237,1077
18975,15035,993
19295,74940,1241
18871,69494,950
36431,94668,509
43015,84553,503
12909,37230,1495
12022,676,1176
41268,9445,500
3543,40512,927
34048,88197,736
42181,34096,939
38576,25178,897
33753,34179,1317
25044,90841,769
41087,45928,1432
33267,80088,1190
42097,77883,1152
24953,59147,1275
38657,54256,1152
26856,85515,1300
34469,50145,1308
14947,6404,583
1507,76335,1027
21158,21143,1347
35408,43942,520
42673,11878,615
15864,49517,1186
39894,949,1246
24230,14000,1220
43484,96111,585
34442,16135,695
20239,65952,1004
30116,81481,758
24918,6673,893
28495,64584,1008
40189,70277,1260
18795,322,1062
29370,82219,1265
2292,17386,988
32185,83431,1205
36205,30886,842
43951,34368,995
43263,3341,978
34945,12866,555
10982,65123,1066
13547,49888,1480
17770,25122,702
39794,80496,1005
14894,9738,1238
1211,61759,928
29685,6251,1160
35747,49328,574
11116,48781,1252
43636,23126,902
4367,24012,1033
581,34957,658
26533,94012,1417
32505,79681,1153
6095,26022,1045
34703,21498,879
41887,92376,1180
29921,7244,902
41162,98118,578
25808,94041,1245
19602,52567,1167
8122,90823,779
35311,35531,1172
17904,75181,1100
39745,72598,591
42921,63132,944
22942,26735,895
44733,5975,845
13690,94927,1326
33062,72580,559
41447,78779,1246
2117,63738,1133
35465,15832,1126
12824,31110,1048
27124,44344,919
12939,43269,683
34606,88047,548
38400,74470,968
45304,55863,1421
1712,58060,925
15843,75796,918
44318,93290,509
35576,9756,1194
27642,69050,1310
9436,24589,618
674,48009,500
20331,30414,1326
7377,54852,1041
25195,45214,1062
42130,20898,1324
3037,14929,504
13557,67407,948
29804,39010,721
13022,87145,621
44307,79629,1366
41622,62246,1472
5031,35477,959
6829,20777,1494
18121,22500,788
42798,64339,1190
2271,72645,1419
9719,65204,1457
17444,49889,1333
13752,76149,1442
16310,68202,1109
8866,73494,710
7767,49550,862
9325,83048,1293
22399,62454,819
29859,40751,736
4940,12724,537
44162,68534,1426
33162,76026,805
11173,16044,974
37031,60026,1212
33864,32610,858
40208,60076,1447
34554,47839,1075
29147,78623,1244
8815,42029,625
19103,59500,589
14528,15716,737
22200,45091,1247
22314,64312,1502
44067,62034,1436
605,81630,1502
5086,21796,1270
40861,55056,961
39918,55445,1339
20431,79807,1069
10143,22607,661
13661,18236,758
11393,36122,934
43365,89543,898
10747,25251,885
10262,38023,819
29588,57859,1253
6336,26086,1419
21094,75075,1220
32330,14791,868
38104,50677,1154
7715,43352,1359
10731,58699,1011
15026,84246,1323
39785,14897,616
43103,23985,1219
35385,49398,819
35429,15410,823
30411,1086,532
3060,4813,1002
21871,35746,669
21134,13653,918
4438,78084,830
30638,8110,937
42183,32238,939
40110,31097,613
38796,46569,1021
16932,54572,711
32540,40859,1124
494,95827,1250
33529,55187,529
36885,93021,626
8225,91034,1415
7929,27829,981
20590,92298,1092
26689,1414,554
9570,86967,808
19402,83427,1386
35357,90786,1340
5323,12257,560
44896,87231,1472
40629,82689,710
7380,62838,651
32713,80071,1452
22748,36960,940
41746,11686,954
480,13900,629
32146,16284,1441
33695,46134,865
39109,12887,644
34508,85744,1240
25861,45584,532
16574,40422,864
11021,17442,954
18437,10455,1293
8412,3751,656
31415,91009,1214
41819,53289,1017
45194,3347,1135
40761,17474,1354
21318,77899,674
968,74405,1460
45466,34277,656
26800,91821,601
5828,90450,1156
24706,77712,1114
7580,65957,1384
36975,83000,1277
19362,67982,621
38471,10439,1369
10704,2937,1171
24517,43478,1220
5060,60741,928
16054,56719,1137
24906,61936,1238
27478,5965,1210
29307,62460,1146
32780,87679,974
685,43817,681
38211,54519,1171
5760,78143,1085
31247,95430,1198
5301,98109,1206
26654,70761,827
16663,27153,678
17736,61898,1471
34802,32130,1096
33369,42126,1138
6897,83861,792
11528,90067,1165
12297,8304,681
31641,19360,645
22211,21954,1041
39005,5595,985
10762,8736,1453
39492,77421,676
1641,39673,1473
19501,62022,1113
27505,31164,655
2197,66969,608
8231,94128,1462
12889,70920,532
8174,62290,1198
36757,26877,888
30715,42529,654
2186,83268,1447
3999,47078,570
11780,41090,720
38819,27341,825
29657,39643,1498
10593,28089,577
9135,40014,1164
25885,26418,674
42558,38826,525
23968,42041,845
25383,80444,1197
9133,27633,887
41527,56916,601
16348,58683,1007
15621,63223,1169
28702,13517,1300
19019,53150,1107
375,79976,619
41957,80631,1481
1801,39115,882
40891,74409,1419
18506,35980,1127
25945,2379,1348
5775,94823,512
9808,63,961
7694,87013,1183
28994,51663,654
13959,30068,1226
12177,41583,1205
39190,28508,1010
13529,51041,669
25893,17494,612
43911,15133,1202
31866,17814,1102
9449,21243,1098
33746,91594,1398
6611,71730,1271
10017,29197,704
12166,50564,587
35087,76376,1350
21817,73015,740
36950,82970,1264
23019,69810,1341
29403,48487,874
27709,16527,850
6064,98433,642
7157,73354,1324
12705,50565,754
35387,3720,978
13613,82396,766
33108,45371,1196
35682,92078,614
22180,17547,1240
